OA11CD,easting,northing
E00001455,524930.45,190967.26
E00001452,524825.919,191080.212
E00001453,525424.743,191127.802
E00001450,524850.727,191203.286
E00001451,525702.323,191067.59
E00001458,525170.375,190876.043
E00001459,525587.969,190807.113
E00001406,523526.97,195527.593
E00001487,524939.086,191379.883
E00001407,524497.669,195493.431
E00001404,523921.647,195640.371
E00001485,525881.702,191556.008
E00001484,525806.991,191463.211
E00001402,524063.552,195730.782
E00001483,525303.471,191656.752
E00001403,524963.639,195660.227
E00001482,525906.312,191664.079
E00001400,522997.304,195614.946
E00001481,525128.014,191606.17
E00001401,525284.683,195751.914
E00001480,525840.581,191788.982
E00000876,526780.712,189329.611
E00001489,525387.289,191426.821
E00000877,527532.779,189205.712
E00001409,524876.554,195575.119
E00001488,525602.903,191506.489
E00000874,526869.663,189510.329
E00000875,526322.846,189307.094
E00000872,526902.979,190883.095
E00000873,526665.283,189221.034
E00000870,526421.528,189942.851
E00000871,526661.672,189712.835
E00001146,519986.358,192065.207
E00001147,520284.69,192112.321
E00001144,520739.649,192218.493
E00001145,520147.091,192293.514
E00001142,520325.531,192323.998
E00001143,521065.378,192190.723
E00001140,520222.495,192593.096
E00000878,526708.457,190548.083
E00001141,520492.495,192253.187
E00000826,527153.881,196456.237
E00000827,527649.655,196433.091
E00000824,527431.505,196391.854
E00001148,520148.663,191952.435
E00000825,526675.118,196289.043
E00001149,520696.03,192105.776
E00000822,526881.702,196228.992
E00000823,527007.601,195896.36
E00000820,527315.811,194763.657
E00000821,527049.218,196434.18
E00001136,520466.294,192702.698
E00001137,520339.068,192692.128
E00001134,520036.597,192652.818
E00001133,520050.839,192873.753
E00001130,520684.357,193120.15
