startid,endid,routedist
E00006506,51,0.154665
E00021778,170,0.148104
E00019961,161,0.18137799999999998
E00006505,60,0.170127
E00004225,293,0.189859
E00017936,167,0.208049
E00176506,384,0.150858
E00006512,71,0.130108
E00008280,385,0.20787899999999998
E00019979,162,0.152951
E00174812,132,0.14047300000000001
E00008813,91,0.14746199999999998
E00176248,80,0.391245
E00019989,162,0.250674
E00020103,157,0.13643799999999998
E00013352,271,0.180945
E00008871,83,0.17719100000000002
E00021724,235,0.189899
E00174833,140,0.18663300000000002
E00012828,245,0.26204500000000003
E00022096,182,0.21038300000000001
E00004526,299,0.194632
E00000005,184,0.20736600000000002
E00002897,308,0.1335
E00167687,316,0.213356
E00017918,168,0.16731100000000002
E00006503,51,0.214358
E00175206,1,0.24321700000000002
E00015816,363,0.38346600000000003
E00000022,189,0.1827
E00024134,21,0.19403
E00006868,74,0.16450800000000002
E00022181,397,0.232847
E00004223,285,0.387354
E00015803,365,0.17429
E00166869,258,0.24276499999999998
E00008770,42,0.253578
E00017933,167,0.19642300000000001
E00013529,226,0.14056100000000002
E00006894,59,0.234577
E00174842,229,0.235137
E00023933,29,0.209895
E00023933,342,0.209895
E00009637,112,0.228018
E00019960,158,0.136845
E00005698,350,0.204993
E00004711,296,0.185908
E00017901,174,0.17894900000000002
E00013510,148,0.263892
E00004229,293,0.13892
E00013508,144,0.373726
E00007597,101,0.179542
E00020875,276,0.17359200000000002
E00019929,160,0.206924
E00020849,277,0.289706
E00022183,399,0.216994
E00176300,82,0.21732200000000002
E00016842,392,0.176814
E00015520,382,0.440166
E00012855,244,0.135125
E00023959,303,0.204517
E00013828,228,0.403508
E00020460,335,0.181857
E00167985,159,0.15877000000000002
E00016037,368,0.24265299999999998
E00006000,53,0.212565
E00020408,317,0.22481800000000002
E00020232,334,0.144604
E00012856,245,0.166149
E00013548,139,0.181364
E00016620,126,0.184386
E00018221,165,0.151555
E00016615,127,0.16369399999999998
E00017191,408,0.170354
E00010823,115,0.138679
E00006886,62,0.200369
E00022372,400,0.20223
E00008297,385,0.17996500000000001
E00017935,168,0.16134700000000002
E00013538,226,0.199094
E00008811,90,0.135689
E00021730,239,0.1884
E00018225,163,0.192393
E00015650,218,0.22933699999999999
E00004530,8,0.14062
E00019893,333,0.21050899999999997
E00024112,16,0.16622499999999998
E00176329,86,0.16458799999999998
E00004703,295,0.20843799999999998
E00015249,367,0.388195
E00005877,361,0.187013
E00016032,370,0.227649
E00013958,134,0.210947
E00175195,15,0.199465
E00015641,219,0.19677699999999998
E00020100,339,0.220788
E00013514,147,0.180177
E00024110,15,0.162356
E00021775,170,0.174997
E00003046,306,0.15636699999999998
E00008921,230,0.141126
E00008939,231,0.194772
E00021158,34,0.196212
E00023934,22,0.211103
E00174833,143,0.194243
E00013547,138,0.159411
E00020102,153,0.179718
E00005033,359,0.177337
E00005941,344,0.236107
E00015423,373,0.140847
E00008641,231,0.232392
E00017931,172,0.238485
E00166758,187,0.256484
E00006512,72,0.196075
E00008819,87,0.141796
E00023960,301,0.462176
E00019900,319,0.214347
E00013832,140,0.250863
E00021165,41,0.143387
E00016064,371,0.24985
E00019731,332,0.26231400000000005
E00017915,172,0.341688
E00013521,229,0.266748
E00006477,72,0.223728
E00006882,49,0.140853
E00174674,291,0.27929000000000004
E00006514,71,0.143073
E00012776,258,0.24740700000000002
E00021159,233,0.183562
E00020097,150,0.21297300000000002
E00006932,95,0.196374
E00023960,304,0.46066500000000005
E00008753,141,0.340386
E00020073,338,0.194941
E00017920,174,0.32758
E00020123,151,0.232147
E00008169,38,0.327248
E00006938,94,0.14408
E00022347,180,0.160051
E00008801,87,0.18055000000000002
E00017914,173,0.194835
E00022181,399,0.13858199999999998
E00021151,41,0.209343
E00018224,166,0.219032
E00000016,189,0.286366
E00023955,302,0.163196
E00020105,155,0.21224500000000002
E00017914,172,0.204327
E00020862,280,0.774374
E00021705,233,0.185756
E00019929,161,0.21940600000000002
E00004705,295,0.14222200000000002
E00019724,332,0.219685
E00020105,327,0.188558
E00021698,233,0.190195
E00006883,75,0.243191
E00017937,166,0.18544999999999998
E00176244,133,0.565472
E00008762,43,0.20585
E00005035,358,0.269304
E00013428,187,0.23005799999999998
E00019960,159,0.259592
